(Ashwattha tree) ripe fruit	(অশ্বত্থ গাছের) পাকা ফল
Strong symptoms	নিরূড় লক্ষণা
Symptom	নিরূড়লক্ষণা
Missing	নিরূদ্দেশ
Calculation	নিরূপণ
Exhaust	নির্গম
Emissions	নির্গমন
Nirgun Brahman	নির্গুণ ব্রাহ্মণ
Nirgundikalpa	নির্গুণ্ডীকল্প
Definitely	নির্চা
Lonely	নির্জন
Secluded forest	নির্জন বনপ্রান্তর
Secluded forest	নির্জন বনাঞ্চল
Secluded place	নির্জন স্থান
Solitude	নির্জনতা
Nirjala Ekadashi	নির্জলাএকাদশী
Dehydration	নির্জলীকরণ
Lifeless	নির্জীব
Inanimate tomb	নির্জীব সমাধি
Critical	নির্ণায়ক
The judging panel	নির্ণায়ক দল
Critical crowd	নির্ণায়ক বৃন্দ
Decisive vote	নির্ণায়ক ভোট
Judgment meeting	নির্ণায়ক সভা
Diagnosis	নির্ণয়
Diagnostic Officer	নির্ণয় কর্তা
Specific	নির্দষ্টা
Specific	নির্দিষ্ট
Specific road	নির্দিষ্ট রাস্তা
Instructions	নির্দেশ
Indicative	নির্দেশক
Board of Directors	নির্দেশক মণ্ডলী
Instruction sheet	নির্দেশপত্র
Directorate	নির্দেশালয়
Guidelines	নির্দেশিকা
Instructions	নির্দেশী
Innocent Mikhya	নির্দোষ মিখ্যা
Innocence	নির্দোষিতা
Ruthless person	নির্দয় ব্যক্তি
Cruelty	নির্দয়তা
Ruthless person	নির্দয়ী ব্যক্তি
Poverty	নির্ধন
Poor man	নির্ধন ব্যাক্তি
Determinant	নির্ধারক
Determination	নির্ধারণ
The prescribed part	নির্ধারিত অংশ
Scheduled time	নির্ধারিত কাল
Fixed capital	নির্ধারিত পুঁজি
Fixed price	নির্ধারিত মূল্য
Scheduled time	নির্ধারিত সময়
Nirpayopama	নির্পযোপমা
Absolute	নির্বস্তুক
Selector	নির্বাচক
Selection	নির্বাচন
Polling station	নির্বাচনকেন্দ্র
Constituency	নির্বাচনক্ষেত্র
Constituency	নির্বাচনী এলাকা
Nirvana	নির্বাণ
Nirvana Upanishad	নির্বাণ উপনিষদ
Nirvanopanishad	নির্বাণোপনিষদ
Vacuum pump	নির্বাত পাম্প
Nirvana	নির্বান
Exile	নির্বাসন
Execution	নির্বাহ
To execute	নির্বাহন করা
Impassive Brahmin	নির্বিকার ব্রাহ্মণ
Sterile tomb	নির্বীজ সমাধি
Non-toxic	নির্বীষীতৃণ
Stupid	নির্বুদ্ধি
Stupid talk	নির্বোধ কথাবার্তা
Interest free	নির্ব্যাজ
Dependence	নির্ভরশীলতা
Fearless	নির্ভয়
Purity	নির্মলতা
Nirmala	নির্মলা
Nirmala approach	নির্মলা পন্থা
Construction	নির্মাণ
Construction industry	নির্মাণ শিল্প
Construction-observer	নির্মাণ-পর্যবেক্ষক
Creator	নির্মাতা
Nirmalya	নির্মাল্য
Nirmalya	নির্মাল্যা
Construction	নির্মিতি
Released snake	নির্মুক্ত সাপ
Eradicate	নির্মূল
Nirmesh	নির্মেষ
Nirmok	নির্মোক
Extract	নির্যাস
Shameless	নির্লজ্জ
Shameless woman	নির্লজ্জ নারী
Shamelessness	নির্লজ্জতা
Indifference	নির্লিপ্ততা
Neil	নিল
Auction	নিলাম
Auction sale	নিলাম বিক্রী
Blue grass	নিলু ঘাস
Ventricle	নিলয়
Nishat	নিশঠ
Nisha	নিশা
Nisha Buck	নিশা বক
Nocturnal	নিশাচর
Nocturnal birds	নিশাচর পাখি
Nocturnal birds	নিশাচর বিহঙ্গ
Nocturnal	নিশাচরী
Nocturnal	নিশাজল
Nocturnal oil	নিশাতৈল
Flag	নিশান
Nishandihi	নিশানদিহি
Flag bearer	নিশানবরদার
Target	নিশানা
Target practice	নিশানা অভ্যাস (করা)
Shooter	নিশানাবাজ
Shooting	নিশানাবাজী
Nishandhi	নিশান্ধী
Nishabed	নিশাবেদ
Night	নিশি
Nishikar	নিশিকর
Nocturnal	নিশিচারণ
Night awakening	নিশিজাগরণ
Nishipal	নিশিপাল
Nocturnal	নিশিপালন
Night of the night	নিশিপালনের রাত
Night owl	নিশিপালিকা
Nightingale	নিশিপুষ্পিকা
Nishumbha	নিশুম্ভ
Stillness	নিশ্চলতা
Freeze	নিশ্চলা
The still river	নিশ্চলা নদী
Sure	নিশ্চিত
Sure	নিশ্চিরা
Nishchira river	নিশ্চিরা নদী
Inertia	নিশ্চেষ্টতা
Anesthesia	নিশ্চেষ্টাকরণ
Of course	নিশ্চয়
Breathing	নিশ্বাস
Class-grass	নিশ্রেণিকা-তৃণ
Nishangi	নিষঙ্গী
Forbidden	নিষধাবতী
Nishadhavati river	নিষধাবতী নদী
Nishad	নিষাদ
Nishad race	নিষাদ জাতি
Prohibited drinks	নিষিদ্ধ পানীয়
Prohibited evidence	নিষিদ্ধ প্রমাণ
Prohibition	নিষেধ
Forbidden	নিষেধক
Prohibition	নিষেধাজ্ঞা
Sincerity	নিষ্কপটতা
Idle	নিষ্কর্মা
Immaculate	নিষ্কলঙ্ক
Immaculate	নিষ্কলঙ্কতা
Selfless action	নিষ্কাম কর্ম
Indifference	নিষ্কামতা
Extraction	নিষ্কাশ
Extraction	নিষ্কাশন
Eviction	নিষ্কাসন
Nishkumbh	নিষ্কুম্ভ
Nishkumbh tree	নিষ্কুম্ভ গাছ
Salvation	নিষ্কৃতি
Delivered	নিষ্কৃতি দেওয়া
Inactivity	নিষ্ক্রিয়তা
Nistigri	নিষ্টিগ্রী
Devotion	নিষ্ঠা
Loyalty	নিষ্ঠীবন
Cruel person	নিষ্ঠুর ব্যক্তি
Cruelty	নিষ্ঠুরতা
Impartiality	নিষ্পক্ষতা
Settlement	নিষ্পত্তি
Innocence	নিষ্পাপতা
Indifference	নিষ্পৃহতা
The cosmos	নিসর্গ
Nisar	নিসার
Nisi	নিসি
Nice	নিসুন্দ
Exchequer	নিস্কৃত-ধন
Silence	নিস্তব্ধতা
Salvation	নিস্তার
Nihang	নিহঙ্গ
Nihang Path	নিহঙ্গ পথ
Nihai	নিহাই
Nihallochan	নিহাললোচন
Controller	নিয়ণ্ত্রণকর্তা
Until the end	নিয়ত অবধি
Destiny	নিয়তি
Neon	নিয়ন
Regulator	নিয়ন্ত্রক
Moderator and Examiner	নিয়ন্ত্রক ও মহা লেখা পরীক্ষক
Comptroller and Auditor General	নিয়ন্ত্রক ও মহালেখা পরিক্ষক
Control	নিয়ন্ত্রণ
Control power	নিয়ন্ত্রণ শক্তি
Control committee	নিয়ন্ত্রণ সমিতি
Lack of control	নিয়ন্ত্রণহীনতা
Rules	নিয়ম
Obey the rules	নিয়ম পালন
Violation of rules	নিয়ম লঙ্ঘন
Compilation of rules	নিয়ম সংকলন
Rules	নিয়ম-কানুন
Devotion to the rules	নিয়ম-নিষ্ঠা
Observance of rules	নিয়ম-পালন
Rules	নিয়মকানুন
Compliance	নিয়মপালন
Breaking the rules	নিয়মভঙ্গ
Nyala	নিয়লা
Controller	নিয়ামক
Niyam	নিয়ামে
Near	নিয়ার
Neon	নিয়ুন
To bring	নিয়ে আসা
To take	নিয়ে যাওয়া
Recruitment	নিয়োগ
Employer	নিয়োগকর্তা
Employer	নিয়োগকারী
Employment	নিয়োজন
Neobium	নিয়োবিয়াম
Despicable	নীচ
Despicable men	নীচ পুরুষ
The lower class	নীচকুল
Baseness	নীচতা
Inferiority	নীচত্ব
Lower clan	নীচবংশ
Lower lip	নীচের ঠোট
Policy	নীতি
Ethicalism	নীতিবাদ
Ethical	নীতিবাদী
Ethicist	নীতিবিদ
Ethics	নীতিবিদ্যা
Unprincipledness	নীতিবিহীনতা
Ethics	নীতিশাস্ত্র
The ethicist	নীতিশাস্ত্রী
Unprincipled person	নীতিহীন ব্যক্তি
Unprincipledness	নীতিহীনতা
Netherlands Guinea	নীদরল্যাঁণ্ড গুয়েনা
Neemuch	নীমচ
Neemuch district	নীমচ জেলা
Neemuch city	নীমচ শহর
Neemroad	নীমরোড
Nimrod Mango	নীমরোড আম
Quack	নীমহাকিম
Neema	নীমা
Nimastin	নীমাস্তীন
Neemuch	নীমুচ
Nir Gang	নীর গাং
Nirgong	নীরগোঙ্গ
Neeraj	নীরজ
Silence	নীরবতা
Dullness	নীরসতা
Blue	নীল
Blue delta	নীল ডেল্টা
Blue butterfly	নীল প্রজাপতি
Blue cloth	নীল বস্ত্র
Blue gem	নীল মণি
Blue buffalo	নীল মোষ
The color blue	নীল রঙ
Blue throat	নীলকণ্ঠ
Blue-throated birds	নীলকণ্ঠ পাখি
Blue throat	নীলকন্ঠ
Blue-throated birds	নীলকন্ঠ পাখি
Nilkamal	নীলকমল
Nilakuntala	নীলকুন্তলা
Indigo	নীলক্রান্তা
Nilgai	নীলগাই
Eucalyptus	নীলগিরি
Nilgiris district	নীলগিরি জেলা
Nilgiris	নীলগিরি পর্বত
Eucalyptus tree	নীলগিরি বৃক্ষ
Nilgiris city	নীলগিরি শহর
Blue wheel	নীলচক্র
Delta delta	নীলনদের ব-দ্বীপ
Nilnirasak	নীলনির্যাসক
Blue	নীলনী
The blue wing is dry	নীলপক্ষ শুক
Sapphire	নীলপত্র
Neelpadma	নীলপদ্ম
Blue flower	নীলপুষ্প
Nilpushpa	নীলপুষ্পা
Nilpuspika	নীলপুষ্পিকা
Blueberry	নীলফল
Blue seed	নীলবীজ
Sapphire	নীলম
Sapphire mango	নীলম আম
Neelam Baneshan	নীলম বনেশান
Sapphire baneshan mango	নীলম বনেশান আম
Sapphire baneshan mango tree	নীলম বনেশান আমের গাছ
Sapphire	নীলমণি
Nilmallika	নীলমল্লিকা
Sapphire	নীলমেহ
Sapphire disease	নীলমেহ রোগ
Blue	নীলরু
Nilsigru	নীলশিগ্রু
Nilsar	নীলসর
In blue	নীলস্বরূপ
Sapphire	নীলা
Blue	নীলাঙ্গ
Nilanjana	নীলাঞ্জনা
Nilanjasa	নীলাঞ্জসা
Sapphire	নীলাম্বর
Nilasana	নীলাসন
Nilima	নীলিমা
Nilendu	নীলেন্দু
Nebula	নীহারিকা
Tip	নুকতি
Job	নুকরী
Nukta	নুক্তা
Noodles	নুডল
Pebbles	নুড়ি
Nuro	নুড়ো
Salt	নুন
Prepare the salt	নুন প্রস্তুত করা
Salted mango	নুন মাখা আম
Salted nuts	নুন মাখা বাদাম
Nundani	নুনদানি
Nunia	নুনিয়া
Nunu	নুনু
Nur Jahan	নুর জাহান
Nurjahan	নুরজাহান
Nuruddin Jahangir	নুরুদ্দীন জাহাঙ্গীর
Nulo	নুলো
Nuapara	নুয়াপাড়া
Nuapara district	নুয়াপাড়া জেলা
Nuapara city	নুয়াপাড়া শহর
Anklet	নূপুর
Anklet	নূপূর
Nrg	নৃগ
Nrga	নৃগা
Ethnicity	নৃজাতি
Dance	নৃত্য
Dance-drama	নৃত্য-নাট্য
Dancer	নৃত্যকার
Dance drama	নৃত্যনাট্য
Dancing	নৃত্যপ্রিয়
Dance hall	নৃত্যশালা
Dance style	নৃত্যশৈলী
Dancer	নৃত্যাঙ্গনা
Nrup	নৃপ
Nrup Kutumb	নৃপ কুটুম্ব
Nrip Vallava	নৃপ বল্লভা
নৃপকুমকুম	নৃপকুমকুম
King	নৃপতি
Nripapriya	নৃপপ্রিয়া
Anthropomorphic	নৃপোচিত
Nrmedha	নৃমেধ
Nrmedha sage	নৃমেধ ঋষি
Atrocities	নৃশংসতা
The lion	নৃসিংহ
Narsingh Avatar	নৃসিংহ অবতার
Narsingh-Chaturdashi	নৃসিংহ-চতুর্দশী
Nrsinghatapani	নৃসিংহতাপনী
Narsinghatapani Upanishad	নৃসিংহতাপনী উপনিষদ
Nrhati	নৃহতি
Nenti	নেংটি
Newell	নেউল
Newaz	নেওয়াজ
Newaz river	নেওয়াজ নদী
Newari	নেওয়ারী
The wolf	নেকড়ে
Wolf tiger	নেকড়ে বাঘ
Necklace	নেকলেস
Neg	নেগ
Neg paradise	নেগ নন্দন
Negachar	নেগাচার
Net	নেট
Network	নেট ওয়ার্ক
Network	নেটওয়র্ক
Network	নেটওয়ার্ক
Neto	নেটো
Leader	নেতা
Netaji	নেতাজী
Netaji Subhash Chandra Bose	নেতাজী সুভাষচন্দ্র বোস
Negative	নেতিক্রিয়া
Leadership	নেতৃত্ব
Netti	নেত্তি
Eye	নেত্র
The eyelids	নেত্র পটল
Eye posture	নেত্র ভঙ্গীমা
Eye coin	নেত্র মুদ্রা
Eye diseases	নেত্র রোগ
Eyeball	নেত্রগোলক
Netrabala	নেত্রবালা
Eye disease	নেত্ররোগ
Eyebrows	নেত্রসীমা
Blindness	নেত্রহীনতা
Netranjan	নেত্রাঞ্জন
Eyesight	নেত্রাময়
Leader	নেত্রী
The Netherlands	নেদারল্যান্ড
Dutch	নেদারল্যান্ডবাসী
Nenua	নেনুয়া
Nenuye	নেনুয়ে
Neptune	নেপচুন
The planet Neptune	নেপচুন গ্রহ
Behind the scenes	নেপথ্য
Backstage house	নেপথ্য গৃহ
Nepon	নেপন
Nepal	নেপাল
Nepalese	নেপাল বাসী
Nepalese	নেপাল-বাসী
Nepalese	নেপালবাসী
Nepali	নেপালি
Nepali	নেপালী
Nepali language	নেপালী ভাষা
Nepalese Rupee	নেপালী রুপিয়া
Napoleon	নেপোলিয়ান
Napoleon I.	নেপোলিয়ান প্রথম
Napoleon Bonaparte	নেপোলিয়ান বোনাপার্ট
Neptunium	নেপ্টুনিয়াম
Navy	নেভি
Nameplate	নেমপ্লেট
Nemi	নেমি
Neminath	নেমিনাথ
Nemi	নেমী
Nemichakra	নেমীচক্র
Nerawati	নেরাওয়াতি
Intoxication	নেশা
Stop the intoxication	নেশা বন্ধ
Addict	নেশাখোর
Intoxicated	নেশাগ্রস্ত
Intoxicated	নেশাড়ু
Intoxication	নেশাবন্ধ
Drug free	নেশামুক্ত
Addictive things	নেশার জিনিস
Nehai	নেহাই
Nehru	নেহেরু
Neria	নেয়ারিয়া
Take it	নেয়ে
Southwest	নৈঋত
Southwest angle	নৈঋত কোণ
Proximity	নৈকট্য
Moral work	নৈতিক কাজ
Moral character	নৈতিক চরিত্র
Morality	নৈতিকতা
Nainital	নৈনিতাল
Nainital district	নৈনিতাল জেলা
The city of Nainital	নৈনিতাল শহর
Craft	নৈপণ্য
Craft	নৈপুণ্য
Offerings	নৈবেদ্য
Anarchy	নৈরাজ্য
Depression	নৈরাশ্য
Dinner	নৈশ ভোজ
Nocturnal	নৈশউত্সব
Dinner	নৈশভোজ
The natural process	নৈসর্গিক প্রক্রিয়া
Natural objects	নৈসর্গিক বস্তু
Natural decoration	নৈসর্গিক শোভা
No Objection Certificate	নো অব্জেকশন সার্টিফিকেট
Say no	নো বল
Dirty	নোংরা
Dirty song	নোংরা গান
Dirty feeling	নোংরা ভাব
Dirt	নোংরামি
Anchor	নোঙর
The shackles of the anchor	নোঙরের শেকল
Nongpo	নোঙ্গপো
Nongpo town	নোঙ্গপো শহর
Nongstoi city	নোঙ্গ্সতোই শহর
Note	নোট
Notebook	নোটবুক
Notes	নোটস্
Notice	নোটিশ
Nora	নোড়া
Nodha	নোধা
Nodha Rishi	নোধা ঋষি
Salty pickles	নোনতা আচার
Salty food	নোনতা খাবার
Feeling salty	নোনতা ভাব
Salt	নোনা
Salt grass	নোনা ঘাস
Salty soil	নোনা মাটি
Noni	নোনি
Nobel Prize	নোবেল পুরস্কার
Nobel Peace Prize	নোবেল শান্তি পুরষ্কার
Nobleium	নোবেলিয়াম
Nova	নোভা
Nolak	নোলক
Noah	নোয়া
Noah	নোয়াহ
Navy	নৌ সেনা
Boat	নৌকা
Boat accommodation	নৌকা আবাস
Boat wharf	নৌকাঘাট
Boatman	নৌকাচালক
Boatman	নৌকাবাহক
Boating	নৌকাবিহার
The rear of the boat	নৌকার পেছনের অংশ
The floor of the boat	নৌকার মেঝে
Boat injury	নৌচকচোট
Boat	নৌচা
Nauchi	নৌচী
Nautanki	নৌটঙ্কী
Pirates	নৌদস্যু
Shipping	নৌপরিবহন
Navy	নৌবাহ
Nausadar	নৌসাদর
Navy	নৌসেনা
Chief of Naval Staff	নৌসেনা অধক্ষ্য
Admiral	নৌসেনাধক্ষ্য
Conflict	ন্যগ্রোধ
Nyachch	ন্যচ্ছ
Nakamo	ন্যাকামো
Natural	ন্যাচারাল
Nadar	ন্যাড়
Bathing	ন্যাতা
Napkins	ন্যাপকিন
Napatha	ন্যাপথা
Naba	ন্যাবা
Nar	ন্যার
National Stock Exchange	ন্যাশানল স্টক এক্সচেঞ্জ
National Aeronautics and Space Administration	ন্যাশানাল এয়োরোনটিক্স অ্যান্ড স্পেস অ্যাডমিনিস্ট্রশান
Trustworthy	ন্যাসরক্ষক
Justice	ন্যায়
Justice	ন্যায় অধিকরণ
Philosophy of justice	ন্যায়-দর্শন
Jurisprudence	ন্যায়-শাস্ত্র
Justice	ন্যায়দর্শন
The judiciary	ন্যায়পালিকা
Justice	ন্যায়মূর্তি
Jurisprudence	ন্যায়শাস্ত্র
Jurist	ন্যায়শাস্ত্রজ্ঞ
Jurist	ন্যায়শাস্ত্রবিদ
Tribunal	ন্যায়সভা
Injustice	ন্যায়হীনতা
Justice	ন্যায়াদেশ
Tribunal	ন্যায়াধিকরণ
Justice	ন্যায়াধিকারী
Judge	ন্যায়াধীশ
Court	ন্যায়ালয়
New Bongaigaon	ন্যু বোংগাইগাঁও
News Studio	ন্যুজ স্টুডিও
Numerology	ন্যুমারোলজি
Minimal part	ন্যূন অংশ
Minimalism	ন্যূনতা
No.	নয়
Date nine	নয় তারিখ
Nine-piece	নয়-খন্ড
Nine	নয়কড়ি
Nine pieces	নয়খন্ড
Nine times	নয়গুণ
Noida	নয়ডা
City of Noida	নয়ডা শহর
Eyes	নয়ন
Eye drops	নয়ন পট
Eyeballs	নয়নপট
Eyebrows	নয়নপ্রান্ত
Nayanbari	নয়নবারি
Eye pleasure	নয়নসুখ
Nayanu	নয়নু
Nayanopanta	নয়নোপান্ত
Eye medicine	নয়নৌষধ
New Delhi	নয়া দিল্লী
Nayagarh	নয়াগড়
Nayagarh district	নয়াগড় জেলা
Nayagarh city	নয়াগড় শহর
Nayapanj	নয়াপঞ্জ
প	প
P-class	প-বর্গ
Seventy-five	পঁচাত্তর
Seventy-five years	পঁচাত্তর বছর
Ninety-five	পঁচানব্বই
Eighty-five	পঁচাশি
Twenty-five	পঁচিশ
Twenty-five dates	পঁচিশ তারিখ
Twenty-five years	পঁচিশ বছর
Twenty-five	পঁচিশী
Panri	পঁড়রী
Forty five	পঁয়তাল্লিশ
Thirty-five	পঁয়ত্রিশ
Thirty-five years	পঁয়ত্রিশ বছর
Sixty-five	পঁয়ষট্টি
Sixty-five years	পঁয়ষট্টি বছর
Line	পংক্তি
Poila	পইলা
Paula	পউলা
Powari	পওয়ারি
Pocket	পকেট
Pocket billiards	পকেট বিলিয়ার্ডস
Pocket killer	পকেটমার
Pickpocketing	পকেটমারি
Pokora	পকোরা
Party	পক্ষ
Favorable	পক্ষকার
Bias	পক্ষপতন
Bias	পক্ষপাত
Impartial	পক্ষপাতশূণ্য
Impartial	পক্ষপাতহীন
Impartiality	পক্ষপাতহীনতা
Paralysis	পক্ষাঘাত
The bird	পক্ষিণী
Birds	পক্ষীন্দ্র
Bird meat	পক্ষীমাংস
Bird king	পক্ষীরাজ
Aviary	পক্ষীশালা
Bird hunter	পক্ষীশিকারী
Fight for	পক্ষে লড়া
Wings	পখানভেদ
Drink	পগপান
Pagarna	পগরনা
Pogar	পগার
Crazy	পঘাল
Line	পঙক্তি
Punkgarh	পঙ্কগড়ক
Pankaj	পঙ্কজ
Pankajbatik	পঙ্কজবাটিক
Pankajasan	পঙ্কজাসন
Pankajit	পঙ্কজিত্
Line	পঙ্কতি
Pankadigdhasarira	পঙ্কদিগ্ধশরীর
Pankadigdhanga	পঙ্কদিগ্ধাঙ্গ
Locusts	পঙ্গপাল
Pangi	পঙ্গী
Lame	পঙ্গু
Paralysis	পঙ্গুতা
Lame	পঙ্গুল
Poor	পচড়া
Rotten	পচা
Rotten smell	পচা গন্ধ
Seventy-five	পচাত্তর
Digestive	পচানক
Twenty-five	পচিশী
Pachui	পচুই
Rotten	পচে যাওয়া
Pachcha-Brahma	পচ্চ-ব্রহ্ম
Pachcha-Brahma Upanishad	পচ্চ-ব্রহ্ম উপনিষদ
Pachchi Bata	পচ্চি বতা
Pachchikari	পচ্চিকারি
Pachchi	পচ্চী
Likes	পছন্দ
Pajjhatika	পজ্ঝটিকা
Five theories	পঞ্চ তত্ত্ব
Five ghosts	পঞ্চ ভূত
Pentagon	পঞ্চ-কোণ
Panchakanya	পঞ্চকন্যা
Panchakalyan	পঞ্চকল্যাণ
Panchkula	পঞ্চকুলা
Panchkula district	পঞ্চকুলা জেলা
Panchkula town	পঞ্চকুলা শহর
Pentagon	পঞ্চকোণ
Five crores	পঞ্চক্রোশ
Panchagani	পঞ্চগনী
Panchagavya	পঞ্চগব্য
Panchagaur	পঞ্চগৌড়
Pentacle	পঞ্চচূড়া
Five	পঞ্চজন
Panchatattva	পঞ্চতত্ত্ব
Panchatantri	পঞ্চতন্ত্রী
Panchatantri harp	পঞ্চতন্ত্রী বীণা
Panchatap	পঞ্চতপ
Panchatal	পঞ্চতাল
Panchataleshwar	পঞ্চতালেশ্বর
Panchataleshwar is angry	পঞ্চতালেশ্বর রাগ
Panchatolia	পঞ্চতোলিয়া
Panchadev	পঞ্চদেব
The five gods	পঞ্চদেবতা
Five metals	পঞ্চধাতু
Panchanad	পঞ্চনদ
Panchnama	পঞ্চনামা
Five feet	পঞ্চপদ
Panchapallab	পঞ্চপল্লব
Five	পঞ্চপাত
Five pots	পঞ্চপাত্র
Panchapradeep	পঞ্চপ্রদীপ
Five souls	পঞ্চপ্রাণ
Panchabati	পঞ্চবটী
Five winds	পঞ্চবায়ু
Pentagon	পঞ্চভূজ
Panchabhuta	পঞ্চভূত
Fifth	পঞ্চম
The head of the fifth room	পঞ্চম কক্ষের অধিকর্তা
George V.	পঞ্চম জর্জ
The fifth wire	পঞ্চম তার
The fifth rage	পঞ্চম রাগ
Fifth grade	পঞ্চম শ্রেণী
The fifth melody	পঞ্চম সুর
Panchampandava	পঞ্চমপাণ্ডব
Fifth floor	পঞ্চমহল
Panchmahal district	পঞ্চমহল জেলা
Fifth	পঞ্চমার
Fifth	পঞ্চমী
Five-faced	পঞ্চমুখ
Five-faced rudraksha	পঞ্চমুখী রুদ্রাক্ষ
Five coins	পঞ্চমুদ্রা
Fist	পঞ্চমুষ্টিক
Five roots	পঞ্চমূল
Panchamuli	পঞ্চমূলী
Five guards	পঞ্চরক্ষক
Pancharas	পঞ্চরস
Pancharik	পঞ্চরিক
Panchalari	পঞ্চলড়ী
Panchasikh	পঞ্চশিখ
Panchasila	পঞ্চশীল
Panchaseri	পঞ্চসেরি
Five thousand	পঞ্চহাজারি
Panchakshari	পঞ্চাক্ষরী
Panchagni	পঞ্চাগ্নি
Almanac	পঞ্চাঙ্গ
Panchangi	পঞ্চাঙ্গী
Fifty-five	পঞ্চান্ন
Fifth	পঞ্চামর
Panchamrit. Charanamrit	পঞ্চামৃত. চরণামৃত
Fifty	পঞ্চাশ
Fifty years	পঞ্চাশ বছর
Fifty lakhs	পঞ্চাশ লাখ
Fifty	পঞ্চাস
Fifty paise	পঞ্চাস পয়সা
Panchayat	পঞ্চায়ত
Panchayat house	পঞ্চায়ত ঘর
Panchayat building	পঞ্চায়ত ভবন
Panchayat	পঞ্চায়েত
Panchayat diagnosis	পঞ্চায়েত নির্ণয়
Head of Panchayat	পঞ্চায়েতপ্রধান
The five senses	পঞ্চেন্দ্রীয়
Pancholi	পঞ্চোলী
Register	পঞ্জি-পুস্তক
Registration	পঞ্জীকরণ
Register	পঞ্জীরী
Pot	পট
Patwa	পটওয়া
Crackers	পটকা
Paintings	পটচিত্র
Patni	পটনী
Patpat	পটপট
Instrumental	পটবাদ্য
Background	পটভূমি
Patamanjari	পটমঞ্জরী
Patal edema	পটল শোথ
Goose	পটহংসিকা
Leash	পটা
Patapat	পটাপট
Pottery	পটারি
Potash	পটাশ
Potassium aluminum sulphate	পটাশিয়াম অ্যালুমিনিয়াম সালফেট
Ribbon	পটি
Skillful	পটু
Skillful	পটুক
Dexterity	পটুতা
Patonha	পটোঁহা
Pottery	পটোরী
Patol	পটোল
Patola	পটোলা
Patolika	পটোলিকা
Patoli	পটোলী
Pottery work	পটোয়ারীর কাজ
Patta	পট্ট
Patti	পট্টি
Reading	পঠন
Reading	পঠন-পাঠন
Readings	পঠনাংশ
Read	পড়া
Study	পড়াশোনা
Grandson	পড়িনাতি
Betting	পণ
Betting practice	পণ প্রথা
Panaji	পণজী
Panaji city	পণজী শহর
Panab	পণব
Hostage	পণবন্দী
Pani	পণি
Pani Rishi	পণি ঋষি
Foolish	পণ্ড
Work in vain	পণ্ডশ্রম করা
Pondicherry	পণ্ডিচেরি
Pondicherry	পণ্ডিচেরী
Pondicherry district	পণ্ডিচেরী জেলা
The city of Pondicherry	পণ্ডিচেরী শহর
Scholar	পণ্ডিত
Pandit Jawaharlal Nehru	পণ্ডিত জওহরলাল নেহেরু
Scholar	পণ্ডিতক
Scholarship	পণ্ডিতগিরী
Products	পণ্য
Warehouse	পণ্যশালা
Patwa	পতওয়া
Patag	পতগ
Insects	পতঙ্গ
Patanjali commentary	পতঞ্জলভাষ্য
Patanjali	পতঞ্জলি
Pattariraj	পতত্রীরাজ
Petni	পতন
Fallout	পতনমতিট্টা
Patanmatitta district	পতনমতিট্টা জেলা
The city of Patanmatitta	পতনমতিট্টা শহর
Patringa	পতরিঙ্গা
The flag	পতাকা
Flag hoisting	পতাকা উত্তোলন
Flagpole	পতাকাদন্ড
Flag bearer	পতাকাধারক
Flag cloth	পতাকার কাপড়
Flagpole	পতাকার দণ্ড
Husband	পতি
Patikama	পতিকামা
Fallen	পতিত
Fallen state	পতিত অবস্থা
Fallen land	পতিত জমি
Fallen land	পতিত ভূমি
Fallow land	পতিতজমি
Prostitute	পতিতা
Widowhood	পতিব্রততা
Patibrata	পতিব্রতা
Patibrata wife	পতিব্রতা স্ত্রী
Patokha	পতোখা
You know	পত্তই
The stone	পত্থরচটা
Petni	পত্নী
Wifeful men	পত্নীনিষ্ঠ পুরুষ
Married men	পত্নীব্রত পুরুষ
Letter	পত্র
Correspondence	পত্র-ব্যবহার
Correspondence	পত্র-মিত্র
Sheet	পত্রক
Journalism	পত্রকারিতা
Magazines	পত্রপত্রিকা
Foliage	পত্রপালী
Foliage	পত্রপাশ্যা
Petals	পত্রপুষ্পক
Correspondence	পত্রপ্রেরণা
Correspondence	পত্রবাহক
Correspondence	পত্রব্যবহার
Lettuce	পত্রশুক
Leafy	পত্রহরিত্
Correspondence	পত্রাচার
Patras	পত্রাস
Magazine	পত্রিকা
Path	পথ
Guide	পথ প্রদর্শক
Path duty	পথ শুল্ক
Guide	পথ-প্রদর্শক
Guide	পথ-প্রদর্শন
Guide	পথপ্রদর্শক
Guide	পথপ্রদর্শন
Mislead	পথভ্রষ্ট করা
The road	পথরচটা
Traveler	পথিক
Pathikalaya	পথিকালয়
Pathikashraya	পথিকাশ্রয়
Path food	পথের খাবার
Diet	পথ্য
Diet	পথ্যা
Pathyadikbath	পথ্যাদিক্বাথ
Terms	পদ
Covering terms	পদ আচ্ছাদন
Appointment	পদ নিযুক্তি
Term wear	পদ পরিধান
Term worship	পদ পূজা
Term service	পদ সেবা
Medal	পদক
Medal-list	পদক-তালিকা
Step	পদক্ষেপণ
Walking-helpful	পদচারণ-সহায়ক
Footprints	পদচিহ্ন
The soles of the feet	পদতল
Resignation letter	পদত্যাগপত্র
Footsteps	পদদলন
Dust	পদধূলি
Footsteps	পদধ্বনি
Designation	পদনাম
Step by step	পদপংক্তি
Title	পদবী
