 Stranger	 अजनबी
Tumburu	तुम्बुरु
Turang	तुरंग
Tunga Gowda	तुरंगगौड़
Turangam	तुरंगम
Turangamsala	तुरंगमशाला
Turangavadan	तुरंगवदन
Trunk shed	तुरंगशाला
Turangika	तुरंगिका
Turangi	तुरंगी
Trumpet	तुरई
Turg	तुरग
Turgadanav	तुरगदानव
Trumpet	तुरगी
Quickness	तुरपन
Trumpet	तुरपाई
Trumpet	तुरमची
Quick	तुरमती
Trumpet	तुरही
trumpet player	तुरही-वादक
trumpet player	तुरहीवादक
Tura	तुरा
Tura city	तुरा शहर
Turasah	तुरासाह
Turi	तुरी
Unadulterated	तुरीयातीत
Turiyetit Upanishad	तुरीयातीत उपनिषद
Turiyetit Upanishad	तुरीयातीत उपनिषद्
Turiatetopanishad	तुरीयातीतोपनिषद
Turiatetopanishad	तुरीयातीतोपनिषद्
Trump	तुरुप
Turumatari	तुरुमतरी
Turumati	तुरुमती
Turumtu	तुरुमतु
Trumpet	तुरुष्कगौड़
Trumpet	तुरुही
Trumpeter	तुरुही-वादक
Trumpeter	तुरुहीवादक
Turk	तुर्क
Turkman	तुर्कमान
Turkmen	तुर्कमेन
Turkmen	तुर्कमेन वासी
Turkmen	तुर्कमेन-वासी
Turkmen	तुर्कमेनवासी
Turkmenia	तुर्कमेनिया
Turkmen	तुर्कमेनिया वासी
Turkmen	तुर्कमेनिया-वासी
Turkmen	तुर्कमेनियाई
Turkmen language	तुर्कमेनियाई भाषा
Turkmenian Manat	तुर्कमेनियाई मनट
Turkmenian Manat	तुर्कमेनियाई मनत
Turkmen-language	तुर्कमेनियाई-भाषा
Turkmen	तुर्कमेनियावासी
Turkmenistan	तुर्कमेनिस्तान
Turkmen	तुर्कमेनिस्तान वासी
Turkmen	तुर्कमेनिस्तान-वासी
Turkmen	तुर्कमेनिस्तानवासी
Turkmenistan	तुर्कमेनिस्तानी
Turkmen language	तुर्कमेनिस्तानी भाषा
Turkmenistan Manat	तुर्कमेनिस्तानी मनट
Turkmenistan Manat	तुर्कमेनिस्तानी मनत
Turkmen-language	तुर्कमेनिस्तानी-भाषा
Turkmen	तुर्कमेनी
Turkmen language	तुर्कमेनी भाषा
Turkmeni Manat	तुर्कमेनी मनट
Turkmeni Manat	तुर्कमेनी मनत
Turkmen-language	तुर्कमेनी-भाषा
Turkmen	तुर्क़मेन
Turkmen	तुर्क़मेन वासी
Turkmen	तुर्क़मेन-वासी
Turkmen	तुर्क़मेनवासी
Turkmenia	तुर्क़मेनिया
Turkmen	तुर्क़मेनिया वासी
Turkmen	तुर्क़मेनिया-वासी
Turkmen	तुर्क़मेनियाई
Turkmen language	तुर्क़मेनियाई भाषा
Turkmenian Manat	तुर्क़मेनियाई मनट
Turkmenian Manat	तुर्क़मेनियाई मनत
Turkmen-language	तुर्क़मेनियाई-भाषा
Turkmen	तुर्क़मेनियावासी
Turkmenistan	तुर्क़मेनिस्तान
Turkmen	तुर्क़मेनिस्तान वासी
Turkmen	तुर्क़मेनिस्तान-वासी
Turkmen	तुर्क़मेनिस्तानवासी
Turkmenistan	तुर्क़मेनिस्तानी
Turkmen language	तुर्क़मेनिस्तानी भाषा
Turkmenistan Manat	तुर्क़मेनिस्तानी मनट
Turkmenistan Manat	तुर्क़मेनिस्तानी मनत
Turkmen-language	तुर्क़मेनिस्तानी-भाषा
Turkmen	तुर्क़मेनी
Turkmen language	तुर्क़मेनी भाषा
Turkmeni Manat	तुर्क़मेनी मनट
Turkmeni Manat	तुर्क़मेनी मनत
Turkmen-language	तुर्क़मेनी-भाषा
Turkistan	तुर्क़िस्तान
Turkey	तुर्क़ी
Turkic Republic	तुर्क़ी गणराज्य
Turkmenistan	तुर्क़ेमेनिस्तान
Turkmeni Manat	तुर्क़ोमेनी मनट
Turkmeni Manat	तुर्क़ोमेनी मनत
Turkistan	तुर्किस्तान
Turkistan	तुर्किस्तान वासी
Turkistan	तुर्किस्तान-वासी
Turkistan	तुर्किस्तानवासी
Turkey	तुर्की
Turkish Republic	तुर्की गणराज्य
Turkish language	तुर्की भाषा
Turkish Lira	तुर्की लीरा
Turkish language	तुर्की-भाषा
Turkmenistan	तुर्केमेनिस्तान
Turkomeni Manat	तुर्कोमेनी मनट
Turkomeni Manat	तुर्कोमेनी मनत
Turra	तुर्रा
Turra heron	तुर्रा बगुला
Hurricane	तुर्राबाज
Trumpeter	तुर्राबाज़
Equivalent	तुर्वश
Turvusu	तुर्वसु
Turshai	तुर्शाई
Turshi	तुर्शी
Comparison	तुलना
Basil	तुलसी
Tulsi Chaura	तुलसी चौरा
Tulsi letter	तुलसी पत्र
Tulsi Ramayana	तुलसी रामायण
Tulsi-chaura	तुलसी-चौरा
Tulsi letter	तुलसी-पत्र
Tulsichaura	तुलसीचौरा
sweet Basil	तुलसीदल
Tulsidas	तुलसीदास
Basil leaf	तुलसीपत्र
Tulsi	तुलसीस
Libra	तुला
Libra Penalty	तुला दण्ड
Weighing machine	तुला यंत्र
Libra zodiac	तुला राशि
Libra zodiac	तुला राशिवाला
Weighing	तुलाई
Weighed	तुलाघट
Weigher	तुलाडंड
Weigher	तुलादंड
Balance	तुलादान
Balance	तुलाराशि
Tularasiwala	तुलाराशिवाला
Tulika	तुलिका
Tulu	तुलु
Tulu language	तुलु भाषा
Equivalence	तुल्यता
Your	तुवरा
Tuvari	तुवरी
Tuvari Dal	तुवरी की दाल
Tuvari Dal	तुवरी दाल
Tushiar	तुशियार
Hush	तुष
Tushambu	तुषांबु
Frostbite	तुषानल
Tushambu	तुषाम्बु
Frost	तुषार
Frostbite	तुषार-कण
Blight	तुषारकण
Tusharkar	तुषारकर
Frost time	तुषारकाल
Frost	तुषारकिरण
Tushargour	तुषारगौर
Frost	तुषारपात
Pleased	तुषित
Ruthless	तुषोत्थ
Blush	तुषोदक
Appeasement	तुष्टि
Appeasement	तुष्टीकरण
Tuhin	तुहिन
Tuhinkar	तुहिनकर
Frostbite	तुहिनकिरण
Tuhinagiri	तुहिनगिरि
Frostbitten	तुहिनदीधित
Tuhindyuti	तुहिनद्युति
Tuhinershmi	तुहिनरश्मि
Tuhinshell	तुहिनशैल
Tuhinanshu	तुहिनांशु
Tuhinachal	तुहिनाचल
Tuhinadri	तुहिनाद्रि
Tuhinashru	तुहिनाश्रु
Tuhund	तुहुंड
Tuhund	तुहुण्ड
You and me	तू-तू मैं-मैं
Tomb	तूँबड़ा
Tundri	तूँबड़ी
Tumba	तूँबा
Tumbi	तूँबी
Tumbda	तूंबड़ा
Tumba	तूंबा
Tumbi	तूंबी
You	तूअर
Your pulse	तूअर की दाल
Your pulse	तूअर दाल
Thun	तूण
Tune	तूणव
You	तूणी
Money liner	तूणीक
Tunir	तूणीर
Foot	तूत
Spiky	तूतमंगला
Stitch	तूतिया
Toot	तूती
Thimble	तूतुकुड़ी
Thoothukudi District	तूतुकुड़ी ज़िला
Thoothukudi District	तूतुकुड़ी जिला
Thoothukudi City	तूतुकुड़ी शहर
Thoothukudi	तूतुकुडी
Thoothukudi District	तूतुकुडी ज़िला
Thoothukudi District	तूतुकुडी जिला
Thoothukudi City	तूतुकुडी शहर
Thoothukudi	तूतूकुड़ी
Thoothukudi District	तूतूकुड़ी ज़िला
Thoothukudi District	तूतूकुड़ी जिला
Thoothukudi City	तूतूकुडी शहर
The storm	तूफ़ान
storm	तूफान
You	तूमड़ी
Youri	तूमरी
You	तूमार
Tumari-yarn	तूमारिया-सूत
Tumariasut	तूमारियासूत
Tumbi	तूम्बी
Tuya	तूया
Toor	तूर
Toor dal	तूर की दाल
Toor lentil	तूर दाल
You	तूरा
Tura city	तूरा शहर
Tury	तूर्य
Radio player	तूर्य-वादक
Turist	तूर्यवादक
The tool	तूल
To weigh	तूल देना
Pompous	तूलफला
Tree tree	तूलवृक्ष
Toulsevan	तूलसेवन
Tuli	तूलि
Paintbrush	तूलिका
Thusa	तूसा
Three	तृण
Grass grinder	तृण कुटी
Grasshopper	तृण-कुटी
Grass grain	तृण-धान्य
Grass-roots	तृण-शस्य
Truncated	तृणकर्ण
Sage trunk	तृणकर्ण ऋषि
Truncated	तृणकुंकुम
Trunk	तृणकुटी
Trinket	तृणकेतकी
Trinketu	तृणकेतु
Trinket	तृणकेसर
Tricolor	तृणगंधा
Greed	तृणगन्धा
Trinity	तृणगोधा
Tringaur	तृणगौर
Glandular	तृणग्रंथी
Trilogy	तृणग्रन्थी
Desensitized	तृणग्राही
Trinjalayuka	तृणजलायुका
Green apple	तृणजलौका
Trilogy	तृणज्योतिस्
Truncation	तृणधान्य
Three nights	तृणनिंब
Truncid	तृणनिम्ब
Trilogy	तृणप
Scribe	तृणपत्रिका
Scythe	तृणपत्री
Trilateral	तृणपदी
Trinamani	तृणमणि
Trinamool Congress	तृणमूल कांग्रेस
Trinamal	तृणाम्ल
Round the clock	तृणावर्त
Third eye	तृतीय नेत्र
Third voice	तृतीय स्वर
Tertiary	तृतीयक
Tritiya	तृतीया
Tropa	तृपा
Satisfaction	तृप्ति
Trisha	तृषा
Craving	तृष्णा
Tenga	तेंगा
Leopard	तेंदुआ
Leopard	तेंदुई
Persimmon	तेंदू
Twenty three	तेइस
Twenty third	तेइसवाँ
Twenty third year	तेइसवाँ वर्ष
Twenty third year	तेइसवाँ साल
Twenty third	तेइसवां
Twenty third year	तेइसवां वर्ष
Twenty third year	तेइसवां साल
Twenty third	तेइसवीं
twenty three	तेईस
Twenty third	तेईसवाँ
Twenty third year	तेईसवाँ वर्ष
Twenty third year	तेईसवाँ साल
Twenty third	तेईसवां
Twenty third year	तेईसवां वर्ष
Twenty third year	तेईसवां साल
Twenty third	तेईसवीं
Tekhara	तेखरा
Teg	तेग
Tegh Bahadur	तेग बहादुर
Tegh Bahadur	तेग़ बहादुर
Tega	तेग़ा
Tega	तेगा
fast	तेज
Fast bowler	तेज गेंदबाज
Bay leaf	तेज पत्ता
Sharp letter	तेज पत्र
Bay leaf	तेजपत्ता
Tejapatra	तेजपत्र
Spikenard	तेजपात
Tejbal	तेजबल
Tejal	तेजल
Tejwati	तेजवती
Sharpness	तेजस्विता
Stunning	तेजस्वी
Fast	तेज़
Fast bowler	तेज़ गेंदबाज़
Acid	तेज़ाब
Speed	तेज़ी
Tezu	तेज़ु
Tezu	तेज़ू
Tezu city	तेज़ू शहर
Acid	तेजाब
Fast	तेजी
Teju	तेजु
Teju	तेजू
Tezu city	तेजू शहर
Sharp point	तेजो-बिंद
Tejo-point Upanishad	तेजो-बिंदु उपनिषद
Tejo-point Upanishad	तेजो-बिंदु उपनिषद्
Sharp point	तेजो-बिन्दु
Tejo-point Upanishad	तेजो-बिन्दु उपनिषद
Tejo-point Upanishad	तेजो-बिन्दु उपनिषद्
Tejoseal	तेजोजल
Tebobind	तेजोबिंद
Tezobindu	तेजोबिन्दु
Then	तेनी
Then district	तेनी ज़िला
Theni district	तेनी जिला
Theni city	तेनी शहर
Tendua	तेन्दुआ
Thirteen	तेरस
Thirteen	तेरह
Thirteenth	तेरहवाँ
Thirteenth	तेरहवीं
Thirteen	तेरही
Not only	तेरहीं
oil	तेल
Oil crusher	तेल कोल्हू
Oil pitcher	तेल घड़ा
Oil condensate	तेल घानी
Oil ministry	तेल मंत्रालय
Oil ministry	तेल मन्त्रालय
Applied oil	तेल लगाई
Oil crusher	तेल-कोल्हू
Oil-dense	तेल-घानी
Telangana	तेलंगाना
Telugu	तेलगु
Telugu Desam	तेलगु देशम
Telugu Desam Party	तेलगु देशम पार्टी
Telugu script	तेलगु लिपि
Telugu	तेलगू
Telugu script	तेलगू लिपि
Telghani	तेलघानी
Oilbella	तेलबैला
Telmani	तेलमणि
Telai	तेलवाई
Telsura	तेलसुर
Oil hand	तेलहँड़ा
Oil stick	तेलहँड़ी
Oilseeds	तेलहन
Telai	तेलाय
Tallinn	तेलिन
Telier	तेलियर
Telia	तेलिया
Oily tale	तेलियाकत्था
Teliapakhan	तेलियापखान
Telia Suhag	तेलियासुहाग
Teliasuhaga	तेलियासुहागा
Teli	तेली
Teli caste	तेली जाति
Telugu	तेलुगु
Telugu script	तेलुगु लिपि
Telunchi	तेलौंची
Frown	तेवर
Tehran	तेहरान
Forty three	तैंतालीस
Thirty three	तैंतीस
Taygris	तैग्रिस
Tigris River	तैग्रिस नदी
Forty three	तैतालीस
Oath	तैतिर
Thirty three	तैतीस
Taittir	तैत्तिर
Oily	तैत्तिरीय
Taittiriya Upanishad	तैत्तिरीय उपनिषद
Taittiriya Upanishad	तैत्तिरीय उपनिषद्
Deployment	तैनाती
Taipei	तैपी
Taipeh	तैपेह
Preparation	तैयारी
swimming	तैरना
Swimming	तैराई
Swimmer	तैराक
Swimming	तैराकी
Swimming pool	तैराकी तालाब
Swim	तैराव
Oil	तैल
Oil color	तैल रंग
Telang	तैलंग
Tailanga	तैलंगा
Oilseed	तैलंगी
oil painting	तैलचित्र
Oil sponge	तैलपिंज
Oil tank	तैलमर्दन
Oily	तैलमाली
Tailavalli	तैलवल्ली
Oil phosphate	तैलस्फटिक
Oilseed	तैलस्यंदा
Tailambu	तैलांबु
The gymnast	तैलागुरू
Oil tank	तैलाटी
Swimmer	तैलाधार
Swimming	तैलाभ्यंग
Tailambu	तैलाम्बु
Oilseed	तैलासधन
Oil	तैलिक
Tailin	तैलिन
Oil	तैली
Tailor	तैल्वक
Tish	तैश
Taish	तैष
Tissy	तैषी
Tatysyanda	तैसस्यन्दा
Tong Dum	तोंग दम
Tong dum mango	तोंग दम आम
Belly	तोंद
Tondumal	तोंदूमल
Tok	तोक
Tokak	तोकक
Tokara	तोकरा
Tokam	तोक्म
Tokyo	तोक्यो
Tok	तोख
Tokat	तोटक
the break	तोड़
Shattering	तोड़ फोड़
Sabotage	तोड़-फोड़
to break	तोड़ना
Break break	तोड़ना फोड़ना
Break and break	तोड़ना-फोड़ना
Sabotage	तोड़फोड़
Breaker	तोड़र
Broke	तोड़ा
Broken Buffalo	तोड़ा भैंस
Wrecking	तोड़ाई
Smashed	तोड़ी
Totai	तोतई
Till	तोतक
Toot	तोतर
Parrot	तोतरा
Weasel	तोतला
Weighment	तोतलाहट
Parrot	तोता
Parrot	तोतापरी
Parrot mango	तोतापरी आम
Totapuri	तोतापुरी
Totapuri Mango	तोतापुरी आम
Parrot	तोती
The parrot	तोत्र
Break	तोद
Todan	तोदन
Cannon	तोप
Cannon rub	तोप ख़ाना
Cannon eating	तोप खाना
Cannon ball	तोप गोला
Cannon	तोप-ख़ाना
Artillery	तोप-खाना
Cannon ball	तोप-गोला
Artillery	तोपख़ाना
Artillery	तोपखाना
Artillery director center	तोपखाना संचालक केंद्र
Artillery director center	तोपखाना संचालक केन्द्र
Artillery	तोपगाड़ी
Cannonball	तोपगोला
Gunner	तोपची
Cannon	तोपना
Toba	तोबड़ा
Tobruk	तोबरूक
Tobruk City	तोबरूक शहर
Toba	तोबा
Tomar	तोमर
Toy	तोय
Toy serpentine	तोय-सर्पिका
Toyakam	तोयकम
Toyakrida	तोयक्रीड़ा
Toucher	तोयचर
Toy creature	तोयचर प्राणी
Toydimb	तोयडिंब
Toydimb	तोयडिम्ब
Toyd	तोयद
Toydagam	तोयदागम
Toyadhar	तोयधर
Toyadhar	तोयधार
Toyidhi	तोयधि
Toy	तोयधिप्रिय
Toynidhi	तोयनिधि
Toynbee	तोयनीबी
Toy	तोयपर्णी
Toyupushpi	तोयपुष्पी
Toymal	तोयमल
Toomuch	तोयमुच
Toy	तोययंत्र
Toy plant	तोययन्त्र
Toyaraj	तोयराज
Toy	तोयराशि
Toyavallika	तोयवल्लिका
Toyavalli	तोयवल्ली
Toy tree	तोयवृक्ष
Toy	तोयशाला
Toyushuka	तोयशूका
Toussarpika	तोयसर्पिका
Toy	तोयात्मा
Toadhar	तोयाधार
Toilet	तोयालय
Toyesh	तोयेश
Toar	तोर
Zucchini	तोर की दाल
Toor dal	तोर दाल
Ridge gourd	तोरई
Archway	तोरण
Torana	तोरना
Torshava	तोरश्रवा
Rapeseed	तोरिया
Zucchini	तोरी
Weighing	तोल
Weigh in	तोल मोल
Weighment	तोल-मोल
Weighment	तोलवाई
Tola	तोला
Tosh	तोश
Undergarment	तोशक
Toshal	तोशल
Tosha	तोशा
Dressing room	तोशाकख़ाना
Dressing room	तोशाकखाना
Dressing room	तोशाकगार
The showroom	तोशाख़ाना
Toshakhana	तोशाखाना
The treasury	तोशागार
Toshkhana	तोश्कख़ाना
Tosh	तोष
Treason	तोषण
Tester	तोषणिक
Toshal	तोषल
Tosal	तोसल
Slaughterhouse	तोसाख़ाना
Tosakhana	तोसाखाना
Tosagar	तोसागार
The gift	तोहफगी
The gift	तोहफ़ा
The gift	तोहफा
Gift	तोहमत
Tohini	तोहीनी
Toucha	तौचा
Tawny	तौनी
Toba	तौबा
The form	तौर
Modus operandi	तौर तरीक़ा
Manner	तौर तरीका
Manner	तौर-तरीक़ा
Manner	तौर-तरीका
Modus operandi	तौरतरीक़ा
Manner	तौरतरीका
The weight	तौल
Weighing	तौलवाई
Weighed	तौला
Weighing	तौलाई
The towel	तौलिया
Toulaiya	तौलैया
Dead	तौहीन
Voice	त्यक्ता
Sacrifice	त्याग
To forsake	त्यागना
resignation letter	त्यागपत्र
Solitaire	त्यागी
Tory	त्योरी
Festival	त्योहार
Festival	त्योहारी
Fest	त्यौरी
The festival	त्यौहार
Festive	त्यौहारी
Tri	त्र
Trumbakeshwar	त्रंबकेश्वर
Tripu	त्रपु
Truparkati	त्रपुकर्कटी
Tripul	त्रपुल
The male	त्रपुष
Trilogy religion	त्रयी धर्म
Trilogy	त्रयी-धर्म
Trinity	त्रयीतन
Trilogy	त्रयीधर्म
Three-dimensional	त्रयीमय
Trimukh	त्रयीमुख
Trayodashi	त्रयोदशी
Trayodashi Date	त्रयोदशी तिथि
Truss	त्रस
Trussay	त्रसदस्यु
Trasadsu sage	त्रसदस्यु ऋषि
Trasan	त्रसन
Trident	त्रसरेणु
Train	त्राण
Trana	त्राणा
Trinity	त्रायंती
Trinity	त्रायन्ती
Triumph	त्रायमाण
Triumph Creeper	त्रायमाण लता
Trinity	त्रायमाणलता
Trinity	त्रायमाणा
Trilogy	त्रायमाणिका
The tragedy	त्रास
Tragedy	त्रासदी
Tri-peak	त्रि-षिखि
Tri-Shikha Upanishad	त्रि-षिखि उपनिषद
Tri-Sikh Upanishad	त्रि-षिखि उपनिषद्
3D sculpture	त्रिआयामी मूर्तिकला
Triplet	त्रिकंचक
Trikala	त्रिकाल
Trikala	त्रिकालज्ञ
Triad	त्रिकालज्ञता
Triaxialism	त्रिकालदर्शिता
Trikaldarshi	त्रिकालदर्शी
Trikuta	त्रिकूट
Triangle	त्रिकोण
Trikona	त्रिकोणा
Triple	त्रिगण
Triple	त्रिगुण
Triguni	त्रिगुणी
Trichy	त्रिचि
Trichy District	त्रिचि ज़िला
Trichy District	त्रिचि जिला
Trichy city	त्रिचि शहर
Trichirappalli	त्रिचिरापल्ली
Trichirappalli District	त्रिचिरापल्ली ज़िला
Trichirappalli District	त्रिचिरापल्ली जिला
Trichirappalli City	त्रिचिरापल्ली शहर
Trichy	त्रिची
Trichy District	त्रिची ज़िला
Trichy District	त्रिची जिला
Trichy city	त्रिची शहर
Thrissur	त्रिचूर
Thrissur district	त्रिचूर ज़िला
Thrissur District	त्रिचूर जिला
Thrissur Pooram	त्रिचूर पूरम
Thrissur City	त्रिचूर शहर
The radius	त्रिजटा
Trijataka	त्रिजाटक
Trijiva	त्रिजीवा
The radius	त्रिज्या
Trit	त्रित
Trit Rishi	त्रित ऋषि
Trinity	त्रितंनी
Tritanni	त्रितन्नी
Trindal	त्रिदल
Tridash	त्रिदश
Tridashguru	त्रिदशगुरु
Tridashgop	त्रिदशगोप
Tridascharya	त्रिदशचार्य
Trinity	त्रिदशत्व
Trident	त्रिदशदीर्घिका
Tridashpati	त्रिदशपति
Tridashputra	त्रिदशपुत्र
Tridashpush	त्रिदशपुष्प
Tridashmanjari	त्रिदशमंजरी
Tridashmanjari	त्रिदशमञ्जरी
Trishadwadhu	त्रिदशवधू
Tridashvartham	त्रिदशवर्त्म
Tridashankush	त्रिदशांकुश
Tridashacharya	त्रिदशाचार्य
Tridashadhip	त्रिदशाधिप
Tridasayudh	त्रिदशायुध
Tridashari	त्रिदशारि
Trisdhalaya	त्रिदशालय
Trident	त्रिदशाहार
Trideshwar	त्रिदशेश्वर
Trideshwari	त्रिदशेश्वरी
Tridalika	त्रिदालिका
Three day	त्रिदिव
Tridiva	त्रिदिवा
Trident	त्रिदिवाधीश
Three way	त्रिदिवेश
Tridivoukas	त्रिदिवौकस
Tridev	त्रिदेव
Tridosha	त्रिदोष
Tridhani	त्रिधनी
Trident	त्रिधारा
Tridhara River	त्रिधारा नदी
Trinayana	त्रिनयना
Trinac	त्रिनाक
Trinidad	त्रिनिदाद
Trinidad and Tabago	त्रिनिदाद और टबैगो
Republic of Trinidad and Tabago	त्रिनिदाद और टबैगो गणतंत्र
Trinidad and Tabago Republic	त्रिनिदाद और टबैगो गणतन्त्र
Trinidad and Tabago Country	त्रिनिदाद और टबैगो देश
Trinidad and Tobago	त्रिनिदाद और टोबैगो
Republic of Trinidad and Tobago	त्रिनिदाद और टोबैगो गणतंत्र
Trinidad and Tobago Republic	त्रिनिदाद और टोबैगो गणतन्त्र
Trinidad and Tobago Dollar	त्रिनिदाद और टोबैगो डालर
Trinidad and Tobago Dollar	त्रिनिदाद और टोबैगो डॉलर
Trinidad and Tobago Country	त्रिनिदाद और टोबैगो देश
Trinidad	त्रिनिदाद वासी
Trinidad	त्रिनिदाद-वासी
Trinidadian	त्रिनिदादियन
Trinidadi	त्रिनिदादी
Trinetra	त्रिनेत्र
Trinetrachudamani	त्रिनेत्रचूड़ामणि
Trinetrus	त्रिनेत्ररस
Triplet	त्रिपत्र
Tripathga	त्रिपथगा
Tripathga River	त्रिपथगा नदी
Triplet	त्रिपथा
Tripon	त्रिपन
Triplet	त्रिपर्ण
Tripparna	त्रिपर्णा
Tripodnika	त्रिपर्णिका
Three-tier	त्रिपर्णी
Tripali	त्रिपली
Tripathi	त्रिपाठी
Tripad	त्रिपाद
Tripodika	त्रिपादिका
Tripund	त्रिपुंड
Tripundra	त्रिपुंड्र
Tripur	त्रिपुर
Tripur Upanishad	त्रिपुर उपनिषद
Tripur Upanishad	त्रिपुर उपनिषद्
Tripuramallika	त्रिपुरमल्लिका
Tripura	त्रिपुरा
Triprant	त्रिपुरांतक
Trilateral	त्रिपुरातपनि
Tripuratapani Upanishad	त्रिपुरातपनि उपनिषद
Tripuratapani Upanishad	त्रिपुरातपनि उपनिषद्
Tripurari	त्रिपुरारि
Tripurariras	त्रिपुरारिरस
Tripurari	त्रिपुरारी
Tripurasura	त्रिपुरासुर
Tripuri	त्रिपुरी
Tripuri language	त्रिपुरी भाषा
Tripuropanishad	त्रिपुरोपनिषद
Tripuropanishad	त्रिपुरोपनिषद्
Tripoli	त्रिपोली
Triphala	त्रिफला
Tribal	त्रिबलि
Tribbly	त्रिबली
The trident	त्रिबाहु
Triangle	त्रिभुज
Tribhuvan	त्रिभुवन
Tribhuvansundari	त्रिभुवनसुंदरी
Tribhuvansundari	त्रिभुवनसुन्दरी
Trimandala	त्रिमंडला
Trimandala	त्रिमण्डला
Trimarg Gamini	त्रिमार्ग गामिनि
Trimarg Gamini River	त्रिमार्ग गामिनि नदी
Trimargaga	त्रिमार्गगा
Trimargaga River	त्रिमार्गगा नदी
Trimarga	त्रिमार्गा
Trimarga River	त्रिमार्गा नदी
Three way	त्रिमार्गी
Trimargi River	त्रिमार्गी नदी
Trimund	त्रिमुंड
Trimukut	त्रिमुकुट
Trimund	त्रिमुण्ड
Trinity	त्रिमूर्ति
Trimrit	त्रिमृत
Trimrita	त्रिमृता
Tria	त्रिया
Three dimensional	त्रियामक
Triyama	त्रियामा
Triama River	त्रियामा नदी
Trilok	त्रिलोक
Triloknath	त्रिलोकनाथ
Trilokapati	त्रिलोकपति
Triloki	त्रिलोकी
Trilokinath	त्रिलोकीनाथ
Trilokesh	त्रिलोकेश
Trilokya	त्रिलोक्य
Trilohi	त्रिलोही
Trilogy	त्रिलौही
Trivan	त्रिवण
Trivana raga	त्रिवण राग
Trivanag	त्रिवणराग
Trivani	त्रिवणी
Trilogy	त्रिवर्ग
Trivarna	त्रिवर्ण
Trilogy	त्रिवल्य
Trivalli	त्रिवल्ली
Trivar	त्रिवार
Trivassar	त्रिवासर
Trivikram	त्रिविक्रम
Stereoscopic sculpture	त्रिविम मूर्तिकला
Trivial	त्रिवृंत
Trivalent	त्रिवृन्त
Trivandrum	त्रिवेंद्रम
Triveni	त्रिवेणी
Trivedi	त्रिवेदी
Trivandrum	त्रिवेन्द्रम
Trivella	त्रिवेला
Hung	त्रिशंकु
Trishakti	त्रिशक्ति
Trishku	त्रिशङ्कु
Trishik	त्रिशिख
Trishir	त्रिशिर
Trishira	त्रिशिरा
Trishiri	त्रिशिरारि
Trident	त्रिशीर्ष
Trident	त्रिशीर्षक
Thrissur	त्रिशूर
Thrissur district	त्रिशूर ज़िला
Thrissur District	त्रिशूर जिला
Thrissur Pooram	त्रिशूर पूरम
Thrissur City	त्रिशूर शहर
Trident	त्रिशूल
Trident	त्रिशूलधारी
Trident	त्रिशूली
Trishok	त्रिशोक
Trishok sage	त्रिशोक ऋषि
Trisha	त्रिषा
Trident	त्रिष्टुभ
Trilogy	त्रिसंधि
Trident	त्रिसंध्य
Trisandhyakusum	त्रिसंध्यकुसुम
Trilogy	त्रिसंध्या
Sixty three	त्रिसठ
Trisary	त्रिसरी
Trisama	त्रिसामा
Trisama River	त्रिसामा नदी
Trisira	त्रिसिरा
Trisirari	त्रिसिरारि
Thrissur	त्रिसूर
Thrissur district	त्रिसूर ज़िला
Thrissur District	त्रिसूर जिला
Thrissur Pooram	त्रिसूर पूरम
Thrissur City	त्रिसूर शहर
Tristani	त्रिस्तनी
Tristavan	त्रिस्तवन
Tristava	त्रिस्तवा
Tristani	त्रिस्तानी
Trishprasha	त्रिस्पृशा
Trishprasha Ekadashi	त्रिस्पृशा एकादशी
Trishprasha-Ekadashi	त्रिस्पृशा-एकादशी
Trilogy	त्रिहायणी
Trisuk	त्रीषुक
Error	त्रुटि
Treta	त्रेता
Tretayug	त्रेतायुग
Friable	त्रेतायुगाध्य
Tenness	त्रेपन
Treble	त्रैबलि
Sage treble	त्रैबलि ऋषि
Quarterly	त्रैमातुर
Traylok	त्रैलोक
Trialokya	त्रैलोक्य
Trilogyavijaya	त्रैलोक्यविजया
Trotter	त्रोटक
Trotak raga	त्रोटक राग
Trotki	त्रोटकी
Trimbak	त्र्यंबक
Trimbakeshwar	त्र्यंबकेश्वर
Tryanvakeshwar	त्र्यंवकेश्वर
Trix	त्र्यक्ष
Tryakshi	त्र्यक्षी
Trimbak	त्र्यम्बक
Triune	त्र्यारुण
Three sage	त्र्यारुण ऋषि
Sharpener	त्वक्पाक
Skin	त्वक्सार
Skin	त्वगाक्षीरी
Twinkle	त्वग्गंध
Twinkle	त्वग्गन्ध
Skin extinguisher	त्वग्दोषी
Skin	त्वच
The skin	त्वचा
Skin stool	त्वचा का मल
Skin scum	त्वचा की मैल
Skin mole	त्वचा तिल
Skin stool	त्वचा मल
skin disease	त्वचा रोग
Dermatophytes	त्वचापात्र
Acceleration	त्वरण
Accelerometer	त्वरणमापक
Accelerometer	त्वरणमापी
Skin	त्वरा
Accelerometer	त्वरामापी
Accelerator	त्वरारोह
Quick note	त्वरित-पत्र
quick pace	त्वरितगति
Quick song	त्वरितगीत
Quick verse	त्वरितगीत छंद
Twilight	त्वलग
Sextant	त्वष्टा
Tshwati	त्वाष्टी
Twent	त्वाष्ट्र
Tashwantri	त्वाष्ट्री
Skin	त्विषा
Radial	त्विषामीश
Skin	त्विषि
